Terminal;Contrato;Cliente;Destino;CNPJ Destino;Mercadoria_generica;Identificador;Serie;Data de carregamento;Faturado em;Peso_bruto;Tara;Peso_liquido;Fluxo;Data_descarga;Numero;Serie;Data_emissao;Chave;Peso_declarado;Peso_descarregado;Peso_utilizado;Cnpj_remetente;Remetente;Municipio_remetente;Cnpj_destinatario;Destinatario;Municipio_destinatario;Data_descarga
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;8402884;HPT;22/11/2020 00:45;25/11/2020 10:31;125100;28696;96404;GN29722;25/11/2020 00:19;4783;1;23/11/2020 10:08;NFe51201106315338020659550010000047831158236620;46660;46660;46650;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;25/11/2020 00:19
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;8403333;HPT;22/11/2020 01:19;25/11/2020 10:31;125060;28795;96265;GN29403;09/11/2020 10:08;4277;1;05/11/2020 20:24;NFe51201106315338020659550010000042771253525966;49400;49400;44274;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;09/11/2020 10:08
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;8403333;HPT;22/11/2020 01:19;25/11/2020 10:31;125060;28795;96265;GN29403;09/11/2020 09:41;4276;1;05/11/2020 20:22;NFe51201106315338020659550010000042761673996212;49160;49160;1711;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;09/11/2020 09:41
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;8403333;HPT;22/11/2020 01:19;25/11/2020 10:31;125060;28795;96265;GN29403;09/11/2020 10:06;4303;1;07/11/2020 10:18;NFe51201106315338020659550010000043031598378625;50340;50340;50280;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;09/11/2020 10:06
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;8403821;HPT;22/11/2020 00:59;25/11/2020 10:31;125000;28720;96280;GN29722;25/11/2020 06:06;4807;1;23/11/2020 15:50;NFe51201106315338020659550010000048071850240625;49040;49040;2836;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;25/11/2020 06:06
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;8403821;HPT;22/11/2020 00:59;25/11/2020 10:31;125000;28720;96280;GN29722;25/11/2020 04:42;4795;1;23/11/2020 12:15;NFe51201106315338020659550010000047951867944326;47280;47280;44484;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;25/11/2020 04:42
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;8403821;HPT;22/11/2020 00:59;25/11/2020 10:31;125000;28720;96280;GN29722;25/11/2020 05:57;4794;1;23/11/2020 11:42;NFe51201106315338020659550010000047941257833477;48960;48960;48960;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;25/11/2020 05:57
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;8406405;HPT;22/11/2020 01:22;25/11/2020 10:31;125120;28670;96450;GN29403;09/11/2020 10:08;4277;1;05/11/2020 20:24;NFe51201106315338020659550010000042771253525966;49400;49400;5126;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;09/11/2020 10:08
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;8406405;HPT;22/11/2020 01:22;25/11/2020 10:31;125120;28670;96450;GN29403;09/11/2020 10:45;4307;1;07/11/2020 10:29;NFe51201106315338020659550010000043071214730652;49530;49530;49430;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;09/11/2020 10:45
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;8406405;HPT;22/11/2020 01:22;25/11/2020 10:31;125120;28670;96450;GN29403;09/11/2020 11:09;4293;1;06/11/2020 16:07;NFe51201106315338020659550010000042931268979767;50420;50420;41894;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;09/11/2020 11:09
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;8412910;HFT;22/11/2020 01:05;25/11/2020 10:31;120140;25980;94160;GN29722;25/11/2020 06:14;4676;1;19/11/2020 16:21;NFe51201106315338020659550010000046761729963790;31260;31260;31250;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;25/11/2020 06:14
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;8412910;HFT;22/11/2020 01:05;25/11/2020 10:31;120140;25980;94160;GN29722;25/11/2020 06:06;4807;1;23/11/2020 15:50;NFe51201106315338020659550010000048071850240625;49040;49040;46124;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;25/11/2020 06:06
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;8412910;HFT;22/11/2020 01:05;25/11/2020 10:31;120140;25980;94160;GN29403;08/11/2020 11:35;4250;1;05/11/2020 12:05;NFe51201106315338020659550010000042501499738849;49270;49270;10581;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;08/11/2020 11:35
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;8417288;HFT;22/11/2020 01:12;25/11/2020 10:31;125316;30274;95042;GN29403;08/11/2020 23:08;4285;1;06/11/2020 11:44;NFe51201106315338020659550010000042851126174813;50200;50200;8947;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;08/11/2020 23:08
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;8417288;HFT;22/11/2020 01:12;25/11/2020 10:31;125316;30274;95042;GN29403;08/11/2020 21:16;4295;1;06/11/2020 16:14;NFe51201106315338020659550010000042951009742323;49110;49110;49030;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;08/11/2020 21:16
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;8417288;HFT;22/11/2020 01:12;25/11/2020 10:31;125316;30274;95042;GN29403;08/11/2020 18:40;4294;1;06/11/2020 16:10;NFe51201106315338020659550010000042941421589599;49700;49700;37065;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;08/11/2020 18:40
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;8419370;HFT;22/11/2020 01:09;25/11/2020 10:31;125200;30200;95000;GN29403;08/11/2020 18:40;4294;1;06/11/2020 16:10;NFe51201106315338020659550010000042941421589599;49700;49700;12635;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;08/11/2020 18:40
